站名,英文站名,代碼,經度,緯度,海拔高度,縣市,地址,設站日期,鄉鎮市區人口密度,鄉鎮市區人口,鄉鎮市區面積(km2),type
板橋,BANQIAO,466880,121.442017,24.997647,9.7m,新北市,板橋區大觀路二段265巷62號,1972/3/1,24082.92999,557279,23.14,A
臺北,TAIPEI,466920,121.514853,25.037658,6.255m,臺北市,中正區公園路64號,1896/01/01,20736.28584,157743,7.6071,A
基隆,KEELUNG,466940,121.740475,25.133314,26.7m,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946/1/1,10181.8826,43105,4.2335,A
臺中,TAICHUNG,467490,120.684075,24.145736,84.04m,臺中市,北區精武路295號,1896/01/01,21145.10086,146747,6.94,A
臺南,TAINAN,467410,120.204772,22.993239,40.8m,臺南市,中西區公園路21號,1897/01/01,12497.28435,78233,6.26,A
永康,YONGKANG,467420,120.2367,23.038386,8.1m,臺南市,永康區鹽行里正南五街520巷88號,1947/6/1,5850.633018,235636,40.2753,A
高雄,KAOHSIUNG,467440,120.315733,22.565992,2.3m,高雄市,前鎮區明孝里26鄰漁港南二路2號,1931/1/1,9775.740428,186919,19.1207,A
新竹,HSINCHU,467571,121.014219,24.827853,26.9m,新竹縣,竹北市北崙里3鄰光明五街60號,1991/7/1,4217.738784,197534,46.8341,B1
淡水,TAMSUI,466900,121.448906,25.164889,19.0m,新北市,淡水區中正東路42巷6號,1942/1/1,2562.510614,181067,70.66,B1
新屋,XINWU,467050,121.047486,25.006744,20.6m,桃園市,新屋區東興路二段946號,2013/7/1,579.3692055,49256,85.0166,B1
梧棲,WUQI,467770,120.523381,24.256003,31.73m,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,1976/11/1,3562.442412,59154,16.6049,B1
嘉義,CHIAYI,467480,120.432906,23.495925,26.9m,嘉義市,西區北新里海口寮路56號,1968/9/1,4916.80616,146865,29.87,B1
恆春,HENGCHUN,467590,120.746339,22.003897,22.1m,屏東縣,恆春鎮天文路50號,1896/01/01,223.0647178,30507,136.763,B1
花蓮,HUALIEN,466990,121.613275,23.975128,16.0m,花蓮縣,花蓮市花崗街24號,1910/1/1,3500.26352,102941,29.4095,B2
蘇澳,SU-AO,467060,121.857372,24.596736,24.9m,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),1981/7/1,438.5326378,39038,89.0196,B2
宜蘭,YILAN,467080,121.756528,24.763975,7.2m,宜蘭縣,宜蘭市力行路150號,1935/1/1,3250.646083,95595,29.408,B2
大武,DAWU,467540,120.903789,22.355675,8.1m,臺東縣,大武鄉大武街115號,1939/1/1,83.25933468,5757,69.1454,B2
成功,CHENGGONG,467610,121.373428,23.097486,33.5m,臺東縣,成功鎮公民路84號,1940/1/1,94.41666667,13596,144,B2
臺東,TAITUNG,467660,121.154586,22.752211,9.0m,臺東縣,臺東市大同路106號,1901/1/1,957.8105314,105138,109.7691,B2
鞍部,ANBU,466910,121.529731,25.182586,825.8m,臺北市,北投區陽明山竹子湖路111號,1937/1/1,4455.259972,253155,56.8216,C
竹子湖,ZHUZIHU,466930,121.544547,25.162078,607.1m,臺北市,北投區陽明山竹子湖路2號,1937/1/1,4455.259972,253155,56.8216,C
阿里山,ALISHAN,467530,120.813242,23.508208,2413.4m,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933/1/1,12.95556286,5543,427.8471,C
玉山,YUSHAN,467550,120.959522,23.487614,3844.8m,南投縣,信義鄉玉山北峰1號,1943/1/1,11.18073136,15899,1422,C
日月潭,SUN MOON LAKE,467650,120.90805,23.881325,1017.5m,南投縣,魚池鄉水社村中山路270巷14號,1940/1/1,128.0674941,15544,121.3735,C
馬祖,MATSU,467990,119.923419,26.169269,97.842m,連江縣,南竿鄉四維村6鄰88號,2004/1/1,729.1346154,7583,10.4,D
彭佳嶼,PENGJIAYU,466950,122.079744,25.627975,101.7m,基隆市,中正區彭佳嶼,1910/1/1,35.0877193,40,1.14,D
東吉島,DONGJIDAO,467300,119.667467,23.25695,43.0m,澎湖縣,望安鄉東吉村156號,1962/1/1,383.8954028,5291,13.7824,D
蘭嶼,LANYU,467620,121.558339,22.036969,324.0m,臺東縣,蘭嶼鄉紅頭村2號,1941/1/1,106.1600522,5137,48.3892,D
金門,KINMEN,467110,118.289281,24.407306,47.88m,金門縣,金城鎮金水里西海路一段250號,2004/1/1,1983.650348,43071,21.713,D
澎湖,PENGHU,467350,119.563094,23.565503,10.7m,澎湖縣,馬公市新興路2號,1896/01/01,1845.945199,62747,33.9918,D
