Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
30.4326,74.01212903,2.47292596,729.4539321,27.58462932,41.07066547,30.56663362,,,,,,,,,,,,,,,,,,
30.596091,74.01212903,2.47292596,729.4539321,27.72888346,41.23969356,30.71776623,,,,,,,,,,,,,,,,,,
29.780112,74.01212903,2.47292596,729.4539321,27.00979182,40.3964191,29.96414929,,,,,,,,,,,,,,,,,,
26.74064,74.01212903,2.47292596,729.4539321,24.30638271,37.27883048,27.14429799,,,,,,,,,,,,,,,,,,
30.621467,74.01212903,2.47292596,729.4539321,27.75128143,41.26593206,30.74123011,,,,,,,,,,,,,,,,,,
30.4326,74.01212903,2.47292596,729.4539321,27.58462932,41.07066547,30.56663362,,,,,,,,,,,,,,,,,,
30.4326,74.01212903,2.47292596,729.4539321,27.58462932,41.07066547,30.56663362,,,,,,,,,,,,,,,,,,
30.596091,74.01212903,2.47292596,729.4539321,27.72888346,41.23969356,30.71776623,,,,,,,,,,,,,,,,,,
30.596091,74.01212903,2.47292596,729.4539321,27.72888346,41.23969356,30.71776623,,,,,,,,,,,,,,,,,,
30.596091,74.01212903,2.47292596,729.4539321,27.72888346,41.23969356,30.71776623,,,,,,,,,,,,,,,,,,
21.80835367,74.01212903,2.47292596,729.4539321,19.96955322,32.21264776,22.60205217,,,,,,,,,,,,,,,,,,
18.83767,74.01212903,2.47292596,729.4539321,17.36414384,29.1946582,19.87759933,,,,,,,,,,,,,,,,,,
31.119684,69.86473552,2.995082475,623.0824373,27.28368328,39.5008806,30.11072282,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
27.140332,69.86473552,2.995082475,623.0824373,23.77337301,35.38805601,26.4330055,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
31.119684,69.86473552,2.995082475,623.0824373,27.28368328,39.5008806,30.11072282,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
31.119684,69.86473552,2.995082475,623.0824373,27.28368328,39.5008806,30.11072282,,,,,,,,,,,,,,,,,,
31.119684,69.86473552,2.995082475,623.0824373,27.28368328,39.5008806,30.11072282,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
30.279912,69.86473552,2.995082475,623.0824373,26.54919943,38.63131375,29.33869355,,,,,,,,,,,,,,,,,,
28.34782,69.86473552,2.995082475,623.0824373,24.84261021,36.63399658,27.55140847,,,,,,,,,,,,,,,,,,
