Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
30.279912,,,,,,
30.279912,,,,,,
30.279912,,,,,,
29.023467,,,,,,
29.978532,,,,,,
29.978532,,,,,,
29.978532,,,,,,
29.978532,,,,,,
29.978532,,,,,,
30.449693,,,,,,
30.4326,74.01212903,2.47292596,729.4539321,27.6,41.1,30.6
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
29.780112,74.01212903,2.47292596,729.4539321,27,40.4,30
26.74064,74.01212903,2.47292596,729.4539321,24.3,37.3,27.1
30.621467,74.01212903,2.47292596,729.4539321,27.8,41.3,30.7
30.4326,74.01212903,2.47292596,729.4539321,27.6,41.1,30.6
30.4326,74.01212903,2.47292596,729.4539321,27.6,41.1,30.6
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
30.596091,74.01212903,2.47292596,729.4539321,27.7,41.2,30.7
21.80835367,74.01212903,2.47292596,729.4539321,20,32.2,22.6
18.83767,74.01212903,2.47292596,729.4539321,17.4,29.2,19.9
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
27.140332,69.86473552,2.995082475,623.0824373,23.8,35.4,26.4
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
31.119684,69.86473552,2.995082475,623.0824373,27.3,39.5,30.1
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
30.279912,69.86473552,2.995082475,623.0824373,26.5,38.6,29.3
28.34782,69.86473552,2.995082475,623.0824373,24.8,36.6,27.6
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
27.481986,69.86473552,2.995082475,623.0824373,24.1,35.7,26.7
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
30.539064,69.86473552,2.995082475,623.0824373,26.8,38.9,29.6
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
29.892651,69.86473552,2.995082475,623.0824373,26.2,38.2,29
30.936807,69.86473552,2.995082475,623.0824373,27.1,39.3,29.9
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
27.481986,69.86473552,2.995082475,623.0824373,24.1,35.7,26.7
18.749148,69.86473552,2.995082475,623.0824373,16.4,26.8,18.7
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
29.856369,69.86473552,2.995082475,623.0824373,26.2,38.2,28.9
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
30.473869,69.86473552,2.995082475,623.0824373,26.7,38.8,29.5
30.473869,69.86473552,2.995082475,623.0824373,26.7,38.8,29.5
30.473869,69.86473552,2.995082475,623.0824373,26.7,38.8,29.5
27.175466,69.86473552,2.995082475,623.0824373,23.8,35.4,26.5
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
27.995308,69.86473552,2.995082475,623.0824373,24.5,36.3,27.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
29.029138,69.86473552,2.995082475,623.0824373,25.4,37.3,28.2
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
25.133194,69.86473552,2.995082475,623.0824373,22,33.3,24.6
